round,client_id,participated,num_samples,update_norm_l2,update_norm_l1,update_norm_linf
25,11,1,40,67.76583862304688,167669.328125,0.37364470958709717
25,13,1,149,67.67959594726562,167444.171875,0.3922100067138672
25,14,1,8,67.76934051513672,167708.953125,0.38706642389297485
25,2,1,152,67.70600891113281,167529.375,0.3937302827835083
25,4,1,117,67.71022033691406,167485.78125,0.3788931667804718
25,6,1,50,67.78488159179688,167719.53125,0.4106460213661194
25,7,1,103,67.73258209228516,167595.421875,0.3735421597957611
25,8,1,120,67.72818756103516,167582.5625,0.4029027819633484
25,9,1,204,67.7161636352539,167518.359375,0.42541342973709106
26,0,1,10,67.71405792236328,167550.21875,0.3958502411842346
26,1,1,34,67.70497131347656,167523.5625,0.3955811560153961
26,10,1,144,67.5887451171875,167198.015625,0.3966006636619568
26,11,1,40,67.71112823486328,167522.046875,0.38766077160835266
26,12,1,108,67.6672134399414,167385.96875,0.3843576908111572
26,14,1,8,67.7105712890625,167543.5,0.38934680819511414
26,15,1,154,67.65959167480469,167384.421875,0.4061553180217743
26,3,1,55,67.7175521850586,167503.3125,0.3906949460506439
26,4,1,117,67.68392181396484,167440.828125,0.3779814541339874
26,6,1,50,67.72435760498047,167551.96875,0.41466405987739563
26,7,1,103,67.67131042480469,167427.046875,0.3852147161960602
26,9,1,204,67.60356903076172,167165.0,0.41866305470466614
27,1,1,34,67.65714263916016,167383.546875,0.4121159613132477
27,10,1,144,67.56912231445312,167143.0,0.40569478273391724
27,11,1,40,67.66000366210938,167374.828125,0.3848325312137604
27,12,1,108,67.63075256347656,167294.40625,0.3921976685523987
27,14,1,8,67.65958404541016,167399.28125,0.3889707624912262
27,2,1,152,67.52812957763672,167027.65625,0.3935806453227997
27,3,1,55,67.66483306884766,167383.484375,0.38428089022636414
27,4,1,117,67.63671112060547,167301.109375,0.37049055099487305
27,5,1,121,67.5994644165039,167238.921875,0.391353040933609
27,6,1,50,67.67816925048828,167416.515625,0.40392473340034485
27,7,1,103,67.62186431884766,167283.9375,0.38415151834487915
27,9,1,204,67.55463409423828,167022.953125,0.43559756875038147
28,0,1,10,67.61491394042969,167266.984375,0.39598792791366577
28,1,1,34,67.59650421142578,167204.921875,0.41067057847976685
28,11,1,40,67.60973358154297,167243.0,0.39070868492126465
28,12,1,108,67.56300354003906,167091.015625,0.40515127778053284
28,13,1,149,67.5472412109375,167077.703125,0.41005778312683105
28,15,1,154,67.55674743652344,167093.140625,0.4071306586265564
28,2,1,152,67.54171752929688,167067.859375,0.3983197808265686
28,3,1,55,67.6141357421875,167240.953125,0.39728525280952454
28,4,1,117,67.58831787109375,167157.921875,0.40036824345588684
28,5,1,121,67.55077362060547,167099.640625,0.3854292929172516
28,7,1,103,67.5343017578125,167022.890625,0.40467992424964905
28,8,1,120,67.52986145019531,167004.078125,0.4203126132488251
29,0,1,10,67.5665512084961,167120.59375,0.4213794469833374
29,1,1,34,67.54765319824219,167078.15625,0.4000827372074127
29,10,1,144,67.49565887451172,166936.09375,0.40218326449394226
29,12,1,108,67.52503967285156,166995.40625,0.39829275012016296
29,13,1,149,67.45974731445312,166831.75,0.4089813530445099
29,14,1,8,67.55045318603516,167096.15625,0.3940655589103699
29,15,1,154,67.43524932861328,166749.28125,0.4048771560192108
29,2,1,152,67.49065399169922,166923.0625,0.3865140974521637
29,5,1,121,67.49427795410156,166942.71875,0.39304667711257935
